market_constraint,dayzer_constraint,pano_constraint,dayzer_score,dayzer_confidence,dayzer_status,dayzer_id,pano_score,pano_confidence,pano_status,pano_id,pano_latest,pano_stale,overall_score,overall_confidence,market_id
KEENEY 230 KV KEENEY-STEELE 23009 : L230.CARTANZA-MILFORD.23033,KEENEY_230 KV_KEE-STE1:L230.Cartanza-Milford.23033,KEENEY 230KV - STEELE 230KV (KEENEY 230 KV KEE-STE1) : L230.Cartanza-Milford.23033,83.75,medium,matched,533964,91.52,high,matched,8907,2017-09-21,True,83.75,medium,10000566592_10002380726
112 WILTON CENTER TR94 345/765 KV XFMR L/O 112 WILTON CENTER - 23 COLLINS 765 KV : L765.WILTON-COLLINS.11216,112 WILT_345 KV_TR94CT-S:L765.Wilton-Collins.11216,Dumont 765/345 xfmr_2 (flo) Dumont-Wilton Center 765 : L765.Dumont-Wilton Center.11215,73.24,low,matched,554099,80.41,medium,matched,15349,2013-09-19,True,73.24,low,10018668366_10004237747
ETOWANDA 230 KV ETOWANDA 4 TX XFORMER : L230.EASTTOWANDA-CANYON-NMESHOPPEN + 230/115.NM.T4,ETOWANDA_230 KV_4 TX:L230.EastTowanda-Canyon-NMeshoppen + 230/115.NM.T4,ETOWANDA 230KV - ETOWANDA 115KV (ETOWANDA 230 KV 4 TX) : L230.EastTowanda-Canyon-NMeshoppen + 230/115.NM.T4,100.0,high,matched,534540,100.0,high,matched,5891,2020-05-29,True,100.0,high,10000466189_10003793947
DOEX530 345 KV  DOE-PIE1 : ACTUAL,DOEX530_345 KV_DOE-PIE1:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1) : BASE,100.0,high,matched,520617,100.0,high,matched,3367,2023-09-20,True,100.0,high,10016006396_10000680485
LANESVIL-INTERSTATE 138 KV L/O KINCAID-AUSTIN 2106 345 SPOG 1-3-A : L345.KINCAID-AUSTIN & 2102 & U2 (MULTIPHASE) 1-3-A,AUSTIN_345 KV_AUS-21K:L345.Kincaid-Lanesv.2101 & U1 (Multiphase) 1-3-A,Pana 345 /138 xfmr l/o Kincaid unit 2 : 21 Kincaid.U2,79.93,low,matched,534028,75.34,low,matched,15299,2013-09-27,True,75.34,low,10016743813_10016656530
NEWLONDON- KOKOMO HIGHLANDPARK 230KV L/O DUMONT-SORENSON 765KV : L765.DUMONT-SORENSON,SORENSON_765 KV_XF3:L765.Cook-Dumont,SORENSON765 KV  XF3 : L765.Cook-Dumont,85.87,medium,matched,532893,85.87,medium,matched,9797,2017-01-10,True,85.87,medium,10016737944_10004262298
CANTONCE 138 KV CANTONCE-CLOVEROE : ACTUAL,CANTONCE_138 KV_CAN-CLO1:ACTUAL,CANTONCE 138KV - CLOVEROE 138KV (CANTONCE 138 KV CAN-CLO1) : BASE,86.46,medium,matched,512294,100.0,high,matched,2303,2024-11-02,True,86.46,medium,10000568533_10000680485
MOREHEAD_69KVMOR-KUM1_1_LN : ACTUAL,MOREHEAD_69 KV_MOR-KUM1:ACTUAL,RODBURN 69KV - MOREHEAD 69KV (MOREHEAD 69 KV MOR-KUM1) : BASE,100.0,high,matched,520367,93.63,high,matched,622,2026-02-09,False,93.63,high,10018983365_10000680485
BRIGHTON230 KV  BRI-MTZ2 : L500.BURCHESHILL-POSSUMPOINT.560,BRIGHTON_230 KV_BRI-MTZ2:L500.BurchesHill-PossumPoint.560,BRIGHTON 230KV - MTZION 230KV (BRIGHTON 230 KV BRI-MTZ2) : L500.BurchesHill-PossumPoint.560,100.0,high,matched,552608,100.0,high,matched,2031,2025-02-21,True,100.0,high,10017124085_10004183605
16901   138 KV  16901 1 : ACTUAL,16901_138 KV_16901 1:ACTUAL,16901 138KV - 169 MCGI 138KV (16901 138 KV 16901 1) : BASE,100.0,high,matched,520920,100.0,high,matched,1860,2025-04-18,True,100.0,high,10017408452_10000680485
CHARLERO 138 KV CHARLERO-GORDEN : L500.HATFIELD-RHODESLANE.517,CHARLERO_138 KV_CHA-GOR:L500.Hatfield-RhodesLane.517,ALLENPOR 138KV - CHARLERO 138KV (ALLENPOR 138 KV ALL-CHA) : L500.Hatfield-RhodesLane.517,89.89,medium,matched,550619,87.7,medium,matched,6813,2019-04-24,True,87.7,medium,10000579178_10004270149
TERMINAL345 KV  12 : L345.RED BANK-TERMINAL,TERMINAL_345 KV_12:L345.Red Bank-Terminal,TERMINAL 345KV - TERMINAL 138KV (TERMINAL 345 KV 12) : L345.Red Bank-Terminal,100.0,high,matched,534654,100.0,high,matched,2802,2024-05-09,True,100.0,high,10002899847_10002421825
135_ELMH_T5_345TR81CT-P_XF : ACTUAL,135 ELMH_345 KV_TR81CT-P:ACTUAL,135 ELMH 1KV - 135 ELMH 345KV (135 ELMH 345 KV TR81CT-P) : BASE,87.0,medium,matched,514153,85.0,medium,matched,681,2026-01-29,False,85.0,medium,10019151695_10000680485
